"_id","_labels","birth_date","contract_number","diagnosis","is_admin","is_male","login","meet_datetime","middle_name","name","notes","password","surname","symptoms","_start","_end","_type"
"0",":Doctor","","","","","","login1","","Михайлович","Александр","","pbkdf2:sha256:150000$PK7a9NWz$9b1bbdf4c636659604675855214c9a5b5d16a0cd9f33f254eae5cf5ea3d94f57","Анисимов","",,,
"1",":Doctor","","","","","","login2","","Артурович","Дмитрий","","pbkdf2:sha256:150000$PK7a9NWz$9b1bbdf4c636659604675855214c9a5b5d16a0cd9f33f254eae5cf5ea3d94f57","Андреев","",,,
"2",":Doctor","","","","true","","admin","","Мирославович","Илья","","pbkdf2:sha256:150000$Q65MlI4C$e3c6e0e673efc023679633a947d6e422acafb6b7546019ab72916926f76cf2d4","Захаров","",,,
"3",":Patient","1999-07-14","001","Депрессия","","true","","","Степановна","Маргарита","","","Баранова","Усталость",,,
"4",":Patient","1999-07-14","002","","","true","","","Николаевич","Андрей","","","Григорьев","",,,
"5",":Patient","1999-07-14","003","","","true","","","Даниилович","Иван","","","Емельянов","",,,
"6",":Patient","1999-07-14","004","","","true","","","Леонидович","Фёдор","","","Захаров","",,,
"7",":Patient","1999-07-14","005","","","true","","","Артемьевич","Максим","","","Иванов","",,,
"8",":Meet","","","","","","","1611675000","","","Жалуется на тото, тото и тото...","","","",,,
"9",":Meet","","","","","","","1611678600","","","Жалуется на тото, тото и тото...","","","",,,
"10",":Meet","","","","","","","1611682200","","","Жалуется на тото, тото и тото...","","","",,,
"11",":Meet","","","","","","","1611685800","","","Жалуется на тото, тото и тото...","","","",,,
"12",":Meet","","","","","","","1.6116756E9","","","","","","",,,
"13",":Meet","","","","","","","1.6116792E9","","","","","","",,,
"14",":Meet","","","","","","","1.6116828E9","","","","","","",,,
"15",":Meet","","","","","","","1.6116864E9","","","","","","",,,
"16",":Meet","","","","","","","1.6117548E9","","","","","","",,,
"17",":Meet","","","","","","","1.61158248E9","","","","","","",,,
"18",":Meet","","","","","","","1.61158608E9","","","","","","",,,
"19",":Meet","","","","","","","1.61158968E9","","","","","","",,,
"20",":Meet","","","","","","","1.61159328E9","","","","","","",,,
"21",":Meet","","","","","","","1.61161488E9","","","","","","",,,
"22",":Meet","","","","","","","1.61148888E9","","","","","","",,,
"23",":Meet","","","","","","","1.61149248E9","","","","","","",,,
"24",":Meet","","","","","","","1.61149608E9","","","","","","",,,
"25",":Meet","","","","","","","1.61150688E9","","","","","","",,,
"26",":Meet","","","","","","","1.61152128E9","","","","","","",,,
"27",":Meet","","","","","","","1.61183448E9","","","","","","",,,
"28",":Meet","","","","","","","1.61183808E9","","","","","","",,,
"29",":Meet","","","","","","","1.61184168E9","","","","","","",,,
"30",":Meet","","","","","","","1.61184528E9","","","","","","",,,
"31",":Meet","","","","","","","1.61184888E9","","","","","","",,,
"32",":Meet","","","","","","","1.61193528E9","","","","","","",,,
"33",":Meet","","","","","","","1.61193168E9","","","","","","",,,
"34",":Meet","","","","","","","1.61194248E9","","","","","","",,,
"35",":Meet","","","","","","","1.61193888E9","","","","","","",,,
"36",":Meet","","","","","","","1.61194248E9","","","","","","",,,
"37",":Meet","","","","","","","1.61167998E9","","","","","","",,,
"38",":Meet","","","","","","","1.61167638E9","","","","","","",,,
"39",":Meet","","","","","","","1.61167278E9","","","","","","",,,
"40",":Meet","","","","","","","1.61169438E9","","","","","","",,,
"41",":Meet","","","","","","","1.61170518E9","","","","","","",,,
"42",":Meet","","","","","","","1.61175558E9","","","","","","",,,
"43",":Meet","","","","","","","1.61175918E9","","","","","","",,,
"44",":Meet","","","","","","","1.61176278E9","","","","","","",,,
"45",":Meet","","","","","","","1.61176998E9","","","","","","",,,
"46",":Meet","","","","","","","1.61176638E9","","","","","","",,,
"47",":Meet","","","","","","","1.61185278E9","","","","","","",,,
"48",":Meet","","","","","","","1.61183838E9","","","","","","",,,
"49",":Meet","","","","","","","1.61184198E9","","","","","","",,,
"50",":Meet","","","","","","","1.61185278E9","","","","","","",,,
"51",":Meet","","","","","","","1.61185998E9","","","","","","",,,
,,,,,,,,,,,,,,,"8","0","DOCTOR"
,,,,,,,,,,,,,,,"8","3","PATIENT"
,,,,,,,,,,,,,,,"9","0","DOCTOR"
,,,,,,,,,,,,,,,"9","4","PATIENT"
,,,,,,,,,,,,,,,"10","0","DOCTOR"
,,,,,,,,,,,,,,,"10","5","PATIENT"
,,,,,,,,,,,,,,,"11","0","DOCTOR"
,,,,,,,,,,,,,,,"11","6","PATIENT"
,,,,,,,,,,,,,,,"12","1","DOCTOR"
,,,,,,,,,,,,,,,"12","5","PATIENT"
,,,,,,,,,,,,,,,"13","1","DOCTOR"
,,,,,,,,,,,,,,,"13","5","PATIENT"
,,,,,,,,,,,,,,,"14","1","DOCTOR"
,,,,,,,,,,,,,,,"14","7","PATIENT"
,,,,,,,,,,,,,,,"15","1","DOCTOR"
,,,,,,,,,,,,,,,"15","3","PATIENT"
,,,,,,,,,,,,,,,"16","1","DOCTOR"
,,,,,,,,,,,,,,,"16","3","PATIENT"
,,,,,,,,,,,,,,,"17","1","DOCTOR"
,,,,,,,,,,,,,,,"17","3","PATIENT"
,,,,,,,,,,,,,,,"18","1","DOCTOR"
,,,,,,,,,,,,,,,"18","3","PATIENT"
,,,,,,,,,,,,,,,"19","1","DOCTOR"
,,,,,,,,,,,,,,,"19","5","PATIENT"
,,,,,,,,,,,,,,,"20","1","DOCTOR"
,,,,,,,,,,,,,,,"20","6","PATIENT"
,,,,,,,,,,,,,,,"21","1","DOCTOR"
,,,,,,,,,,,,,,,"21","6","PATIENT"
,,,,,,,,,,,,,,,"22","1","DOCTOR"
,,,,,,,,,,,,,,,"22","3","PATIENT"
,,,,,,,,,,,,,,,"23","1","DOCTOR"
,,,,,,,,,,,,,,,"23","4","PATIENT"
,,,,,,,,,,,,,,,"24","1","DOCTOR"
,,,,,,,,,,,,,,,"24","5","PATIENT"
,,,,,,,,,,,,,,,"25","1","DOCTOR"
,,,,,,,,,,,,,,,"25","5","PATIENT"
,,,,,,,,,,,,,,,"26","1","DOCTOR"
,,,,,,,,,,,,,,,"26","7","PATIENT"
,,,,,,,,,,,,,,,"27","1","DOCTOR"
,,,,,,,,,,,,,,,"27","7","PATIENT"
,,,,,,,,,,,,,,,"28","1","DOCTOR"
,,,,,,,,,,,,,,,"28","6","PATIENT"
,,,,,,,,,,,,,,,"29","1","DOCTOR"
,,,,,,,,,,,,,,,"29","3","PATIENT"
,,,,,,,,,,,,,,,"30","1","DOCTOR"
,,,,,,,,,,,,,,,"30","4","PATIENT"
,,,,,,,,,,,,,,,"31","1","DOCTOR"
,,,,,,,,,,,,,,,"31","5","PATIENT"
,,,,,,,,,,,,,,,"32","1","DOCTOR"
,,,,,,,,,,,,,,,"32","5","PATIENT"
,,,,,,,,,,,,,,,"33","1","DOCTOR"
,,,,,,,,,,,,,,,"33","6","PATIENT"
,,,,,,,,,,,,,,,"34","1","DOCTOR"
,,,,,,,,,,,,,,,"34","6","PATIENT"
,,,,,,,,,,,,,,,"35","1","DOCTOR"
,,,,,,,,,,,,,,,"35","7","PATIENT"
,,,,,,,,,,,,,,,"36","1","DOCTOR"
,,,,,,,,,,,,,,,"36","4","PATIENT"
,,,,,,,,,,,,,,,"37","2","DOCTOR"
,,,,,,,,,,,,,,,"37","5","PATIENT"
,,,,,,,,,,,,,,,"38","2","DOCTOR"
,,,,,,,,,,,,,,,"38","4","PATIENT"
,,,,,,,,,,,,,,,"39","2","DOCTOR"
,,,,,,,,,,,,,,,"39","3","PATIENT"
,,,,,,,,,,,,,,,"40","2","DOCTOR"
,,,,,,,,,,,,,,,"40","6","PATIENT"
,,,,,,,,,,,,,,,"41","2","DOCTOR"
,,,,,,,,,,,,,,,"41","7","PATIENT"
,,,,,,,,,,,,,,,"42","2","DOCTOR"
,,,,,,,,,,,,,,,"42","3","PATIENT"
,,,,,,,,,,,,,,,"43","2","DOCTOR"
,,,,,,,,,,,,,,,"43","4","PATIENT"
,,,,,,,,,,,,,,,"44","2","DOCTOR"
,,,,,,,,,,,,,,,"44","4","PATIENT"
,,,,,,,,,,,,,,,"45","2","DOCTOR"
,,,,,,,,,,,,,,,"45","5","PATIENT"
,,,,,,,,,,,,,,,"46","2","DOCTOR"
,,,,,,,,,,,,,,,"46","6","PATIENT"
,,,,,,,,,,,,,,,"47","2","DOCTOR"
,,,,,,,,,,,,,,,"47","4","PATIENT"
,,,,,,,,,,,,,,,"48","2","DOCTOR"
,,,,,,,,,,,,,,,"48","5","PATIENT"
,,,,,,,,,,,,,,,"49","2","DOCTOR"
,,,,,,,,,,,,,,,"49","3","PATIENT"
,,,,,,,,,,,,,,,"50","2","DOCTOR"
,,,,,,,,,,,,,,,"50","5","PATIENT"
,,,,,,,,,,,,,,,"51","2","DOCTOR"
,,,,,,,,,,,,,,,"51","7","PATIENT"

