,_id,_labels,birth_date,contract_number,diagnosis,is_admin,is_male,login,meet_datetime,middle_name,name,notes,password,surname,symptoms,_start,_end,_type
52,,,,,,,,,,,,,,,,8.0,0.0,DOCTOR
54,,,,,,,,,,,,,,,,9.0,0.0,DOCTOR
56,,,,,,,,,,,,,,,,10.0,0.0,DOCTOR
58,,,,,,,,,,,,,,,,11.0,0.0,DOCTOR
60,,,,,,,,,,,,,,,,12.0,1.0,DOCTOR
62,,,,,,,,,,,,,,,,13.0,1.0,DOCTOR
64,,,,,,,,,,,,,,,,14.0,1.0,DOCTOR
66,,,,,,,,,,,,,,,,15.0,1.0,DOCTOR
68,,,,,,,,,,,,,,,,16.0,1.0,DOCTOR
70,,,,,,,,,,,,,,,,17.0,1.0,DOCTOR
72,,,,,,,,,,,,,,,,18.0,1.0,DOCTOR
74,,,,,,,,,,,,,,,,19.0,1.0,DOCTOR
76,,,,,,,,,,,,,,,,20.0,1.0,DOCTOR
78,,,,,,,,,,,,,,,,21.0,1.0,DOCTOR
80,,,,,,,,,,,,,,,,22.0,1.0,DOCTOR
82,,,,,,,,,,,,,,,,23.0,1.0,DOCTOR
84,,,,,,,,,,,,,,,,24.0,1.0,DOCTOR
86,,,,,,,,,,,,,,,,25.0,1.0,DOCTOR
88,,,,,,,,,,,,,,,,26.0,1.0,DOCTOR
90,,,,,,,,,,,,,,,,27.0,1.0,DOCTOR
92,,,,,,,,,,,,,,,,28.0,1.0,DOCTOR
94,,,,,,,,,,,,,,,,29.0,1.0,DOCTOR
96,,,,,,,,,,,,,,,,30.0,1.0,DOCTOR
98,,,,,,,,,,,,,,,,31.0,1.0,DOCTOR
100,,,,,,,,,,,,,,,,32.0,1.0,DOCTOR
102,,,,,,,,,,,,,,,,33.0,1.0,DOCTOR
104,,,,,,,,,,,,,,,,34.0,1.0,DOCTOR
106,,,,,,,,,,,,,,,,35.0,1.0,DOCTOR
108,,,,,,,,,,,,,,,,36.0,1.0,DOCTOR
110,,,,,,,,,,,,,,,,37.0,2.0,DOCTOR
112,,,,,,,,,,,,,,,,38.0,2.0,DOCTOR
114,,,,,,,,,,,,,,,,39.0,2.0,DOCTOR
116,,,,,,,,,,,,,,,,40.0,2.0,DOCTOR
118,,,,,,,,,,,,,,,,41.0,2.0,DOCTOR
120,,,,,,,,,,,,,,,,42.0,2.0,DOCTOR
122,,,,,,,,,,,,,,,,43.0,2.0,DOCTOR
124,,,,,,,,,,,,,,,,44.0,2.0,DOCTOR
126,,,,,,,,,,,,,,,,45.0,2.0,DOCTOR
128,,,,,,,,,,,,,,,,46.0,2.0,DOCTOR
130,,,,,,,,,,,,,,,,47.0,2.0,DOCTOR
132,,,,,,,,,,,,,,,,48.0,2.0,DOCTOR
134,,,,,,,,,,,,,,,,49.0,2.0,DOCTOR
136,,,,,,,,,,,,,,,,50.0,2.0,DOCTOR
138,,,,,,,,,,,,,,,,51.0,2.0,DOCTOR
